Method,Data_Size,Threads,Time(ms),Speedup,Efficiency(%),Result
atomic,100000,2,0.477,0.976,48.813,4.966647e+06
critical,100000,2,0.221,2.185,109.230,4.966647e+06
lock,100000,2,0.290,1.696,84.809,4.966647e+06
reduction,100000,2,0.233,2.040,101.982,4.966647e+06
atomic,100000,4,0.547,0.852,21.292,4.966647e+06
critical,100000,4,0.120,4.030,100.748,4.966647e+06
lock,100000,4,0.136,3.628,90.691,4.966647e+06
reduction,100000,4,0.214,2.222,55.542,4.966647e+06
atomic,100000,8,1.180,0.395,4.934,4.966647e+06
critical,100000,8,0.132,3.653,45.663,4.966647e+06
lock,100000,8,0.118,4.175,52.182,4.966647e+06
reduction,100000,8,0.112,4.256,53.198,4.966647e+06
atomic,100000,16,1.643,0.284,1.772,4.966647e+06
critical,100000,16,0.104,4.655,29.095,4.966647e+06
lock,100000,16,0.108,4.569,28.557,4.966647e+06
reduction,100000,16,0.107,4.426,27.662,4.966647e+06
atomic,500000,2,1.873,1.395,69.740,2.481500e+07
critical,500000,2,1.416,1.953,97.666,2.481500e+07
lock,500000,2,1.347,1.926,96.297,2.481500e+07
reduction,500000,2,1.376,1.882,94.080,2.481500e+07
atomic,500000,4,1.124,2.324,58.098,2.481500e+07
critical,500000,4,0.913,3.031,75.784,2.481500e+07
lock,500000,4,1.179,2.201,55.027,2.481500e+07
reduction,500000,4,1.134,2.284,57.101,2.481500e+07
atomic,500000,8,1.395,1.873,23.414,2.481500e+07
critical,500000,8,0.598,4.624,57.799,2.481500e+07
lock,500000,8,0.639,4.061,50.760,2.481500e+07
reduction,500000,8,0.669,3.873,48.410,2.481500e+07
atomic,500000,16,2.004,1.304,8.148,2.481500e+07
critical,500000,16,0.525,5.266,32.911,2.481500e+07
lock,500000,16,0.611,4.244,26.527,2.481500e+07
reduction,500000,16,0.561,4.619,28.869,2.481500e+07
atomic,1000000,2,3.388,1.540,76.984,4.968200e+07
critical,1000000,2,2.761,1.976,98.785,4.968200e+07
lock,1000000,2,2.739,1.961,98.049,4.968200e+07
reduction,1000000,2,3.004,1.786,89.320,4.968200e+07
atomic,1000000,4,1.630,3.200,80.005,4.968200e+07
critical,1000000,4,1.465,3.723,93.082,4.968200e+07
lock,1000000,4,1.504,3.571,89.279,4.968200e+07
reduction,1000000,4,2.228,2.408,60.197,4.968200e+07
atomic,1000000,8,2.178,2.395,29.936,4.968200e+07
critical,1000000,8,1.201,4.541,56.758,4.968200e+07
lock,1000000,8,1.234,4.353,54.417,4.968200e+07
reduction,1000000,8,1.329,4.037,50.461,4.968200e+07
atomic,1000000,16,2.599,2.007,12.545,4.968200e+07
critical,1000000,16,1.166,4.677,29.234,4.968200e+07
lock,1000000,16,1.140,4.711,29.441,4.968200e+07
reduction,1000000,16,1.084,4.950,30.935,4.968200e+07
atomic,5000000,2,20.173,1.290,64.494,2.482825e+08
critical,5000000,2,15.166,1.911,95.549,2.482825e+08
lock,5000000,2,16.782,1.601,80.074,2.482825e+08
reduction,5000000,2,18.957,1.404,70.193,2.482825e+08
atomic,5000000,4,9.525,2.732,68.294,2.482825e+08
critical,5000000,4,8.484,3.416,85.402,2.482825e+08
lock,5000000,4,8.939,3.007,75.164,2.482825e+08
reduction,5000000,4,11.730,2.269,56.722,2.482825e+08
atomic,5000000,8,8.936,2.912,36.398,2.482825e+08
critical,5000000,8,6.981,4.152,51.897,2.482825e+08
lock,5000000,8,7.157,3.755,46.941,2.482825e+08
reduction,5000000,8,7.058,3.771,47.133,2.482825e+08
atomic,5000000,16,10.598,2.455,15.345,2.482825e+08
critical,5000000,16,8.496,3.411,21.321,2.482825e+08
lock,5000000,16,10.086,2.665,16.654,2.482825e+08
reduction,5000000,16,6.933,3.839,23.991,2.482825e+08
